sideEffects,price,drugName,dosageInfo,dosage,contraindications,warningsAndPrecautions,conditions,basicInfo,drugForm,StorageConditions,howToTake,otherPrecautions
"['•', ': \r\n\r\nStinging, burning, irritation, itching and redness.\r\n\r\n', '\r\n\r\n\t']", Lactic acid,['Bacil'],['Apply this lotion over the affected area and rub the area thoroughly twice daily or as directed by your physician.\r\n\r\n'],['10.00'],['Hypersensitivity.'],"['\r\n\t', '  For external use only.', '•\r\n\r\n Caution needed for patients with history of any allergy; pregnancy and lactation.', '•\r\n\r\n']",['Skin Disorder'],"['\r\n\t\t\t', ' is a chemical compound, prescribed for dry skin (Xerosis). The cream works by increasing the water content in the skin making the skin softer.\r\n\r\n\xa0   \r\n\t\t\t  \r\n\t    \r\n\t\t\t  \r\n\t\t\t  \r\n\t', '\r\n', '\r\n\t', ""\r\n\t\r\nIndia is the world's capital for quality medicines, be it pharmaceutical formulations, herbal medicines or nutraceuticals. Our Pharma Division deals only with the best, GMP certified generics and branded medication for the export market. All our products are supported by strict adherence to quality and analysis certification."", ' ', '. ', '\r\n\t']",Tablet  ,['Store it at room temperature.\r\n\r\n'],"['It comes as a gel, cream and lotion to apply topically.']",['Wash your hands thoroughly after applying this medication.']
['\r\n\r\n\t'], Metronidazole Oral,['Bacigyl N'],[],['26.84'],[],[],[],"['\r\n\t\t\t\r\n Medindia currently has ', '  generic drugs and ', '  brands that have their prices listed. New drugs with their prices are listed as and when they get approved by the drug controller. Please do write to us (', ') if a drug is missing from our comprehensive drug price list.\r\n   \r\n\t\t\t  \r\n\t    \r\n\t\t\t  \r\n\t\t\t  \r\n\t', '\r\n', '\r\n\t', ""\r\n\t\r\nIndia is the world's capital for quality medicines, be it pharmaceutical formulations, herbal medicines or nutraceuticals. Our Pharma Division deals only with the best, GMP certified generics and branded medication for the export market. All our products are supported by strict adherence to quality and analysis certification."", ' ', '. ', '\r\n\t']",Tablet  ,[],[],[]
['\r\n\r\n\t'], Metronidazole Oral,['Bacigyl -N (30 ml)'],[],['11.60'],[],[],[],"['\r\n\t\t\t\r\n Medindia currently has ', '  generic drugs and ', '  brands that have their prices listed. New drugs with their prices are listed as and when they get approved by the drug controller. Please do write to us (', ') if a drug is missing from our comprehensive drug price list.\r\n   \r\n\t\t\t  \r\n\t    \r\n\t\t\t  \r\n\t\t\t  \r\n\t', '\r\n', '\r\n\t', ""\r\n\t\r\nIndia is the world's capital for quality medicines, be it pharmaceutical formulations, herbal medicines or nutraceuticals. Our Pharma Division deals only with the best, GMP certified generics and branded medication for the export market. All our products are supported by strict adherence to quality and analysis certification."", ' ', '. ', '\r\n\t']",Suspension   ,[],[],[]
"['•', ':\r\n\r\nNausea, abdominal pain, indigestion, constipation, gas and heartburn.  ', '\r\n\r\n•', ':\r\n\r\nAbdominal pain, constipation, diarrhea, dry mouth, indigestion/heartburn, flatulence and vomiting. ', '\r\n\r\n\r\n', '•', ':\r\n\r\nItching, rash, drowsiness, back pain and fever, ', '.\r\n\r\n', '\r\n\r\n\t']", Norfloxacin,['Bacigyl (400mg)'],"['Adult- PO- The recommended dosage is one 400-mg tablet once daily for the duration given above. ', '\r\n\r\nOphthalmic- As 0.3% solution: Instill 1-2 drops 4 times/day for upto 7 days. May increase to 2 hourly for the 1st day in more severe infections.\r\n\r\n']",['20.67'],['Hypersensitivity.'],"['\r\n\t', '  Caution should be exercised in patients with history of stomach infection, nerve problems, myasthenia gravis, brain tumor or injury, Alzheimer disease, seizures, glucose-6-phosphate dehydrogenase (G-6PD) deficiency, any allergy, who are taking other medications, during pregnancy and breastfeeding. ', '•\r\n\r\n It may cause dizziness, lightheadedness, or tiredness, do not drive a car or operate machinery while taking this medication. ', '•\r\n\r\n\r\n Avoid exposure to sunlight.\r\n']","['Abdominal Pain', 'Campylobacteriosis', 'Conjunctivitis', 'Cystitis', 'Salmonellosis', 'Shigellosis', 'Small bowel atresia', 'Typhoid and Paratyphoid Enteric Fevers']","['\r\n\t\t\t', ' is a synthetic chemotherapeutic agent, prescribed for urinary tract infections and eye infections.\xa0It works by killing sensitive bacteria.\r\n   \r\n\t\t\t  \r\n\t    \r\n\t\t\t  \r\n\t\t\t  \r\n\t', '\r\n', '\r\n\t', ""\r\n\t\r\nIndia is the world's capital for quality medicines, be it pharmaceutical formulations, herbal medicines or nutraceuticals. Our Pharma Division deals only with the best, GMP certified generics and branded medication for the export market. All our products are supported by strict adherence to quality and analysis certification."", ' ', '. ', '\r\n\t']",Tablet  ,['Store it at room temperature.'],"['It comes as a tablet to take by mouth, on an empty stomach. ', '\r\n\r\nIt also comes as eye drops to instill into the affected eyes as directed by your physician.\r\n\r\n']",[' Avoid excess dosage.']
"['•', ': \r\n\r\nStinging, burning, irritation, itching and redness.\r\n\r\n', '\r\n\r\n\t']", Lactic acid,['Baciflo'],['Apply this lotion over the affected area and rub the area thoroughly twice daily or as directed by your physician.\r\n\r\n'],['14.80'],['Hypersensitivity.'],"['\r\n\t', '  For external use only.', '•\r\n\r\n Caution needed for patients with history of any allergy; pregnancy and lactation.', '•\r\n\r\n']",['Skin Disorder'],"['\r\n\t\t\t', ' is a chemical compound, prescribed for dry skin (Xerosis). The cream works by increasing the water content in the skin making the skin softer.\r\n\r\n\xa0   \r\n\t\t\t  \r\n\t    \r\n\t\t\t  \r\n\t\t\t  \r\n\t', '\r\n', '\r\n\t', ""\r\n\t\r\nIndia is the world's capital for quality medicines, be it pharmaceutical formulations, herbal medicines or nutraceuticals. Our Pharma Division deals only with the best, GMP certified generics and branded medication for the export market. All our products are supported by strict adherence to quality and analysis certification."", ' ', '. ', '\r\n\t']",Tablet  ,['Store it at room temperature.\r\n\r\n'],"['It comes as a gel, cream and lotion to apply topically.']",['Wash your hands thoroughly after applying this medication.']
"['•', ':\r\nSevere allergic reactions such as rash, headache, fever and hives. ', '\r\n\r\n•', ':\r\nNausea, soreness of the tongue, inflammation in the mouth, oral candidiasis, vomiting, enterocolitis, pseudomembranous colitis and diarrhea. ', '\r\n\r\n•', ':\r\nAnaphylactic shock, redness of skin, skin inflammation, hives and inflammation of blood vessels. ', '\r\n\r\n•', ':\r\nJaundice, moderate elevation of SGOT and liver inflammation. ', '\r\n\r\n•', ':\r\nAnemia and blood disorder.  ', '\r\n\r\n•', ': Tooth discoloration.\r\n', '\r\n\r\n\t']", Ampicillin,['Baciclox (500 mg)'],"['Adult- PO/IM/IV- The recommended dose range is 0.5 to 3gm every 6 hours or 4 times/day.\r\n', '\r\nChild- 25 to 50mg/kg/day.\r\n\r\n']",['10.09'],['Contraindicated in patients with infectious mononucleosis and hypersensitivity. Ampicillin is also contraindicated in infections caused by penicillinase-producing organisms.\r\n\r\n'],"['\r\n\t', '  Caution should be exercised in patients with history of kidney or liver disease, any allergy, asthma, blood disease, intestinal inflammation, stomach problems, hay fever, who are taking other medications, children, who are taking birth control pills, during pregnancy and breastfeeding. ', '•\r\n\r\n It may cause dizziness, do not drive a car or operate machinery while taking this medication. ', '•\r\n\r\n\r\n Take full course of treatment. ', '•\r\n\r\n\r\n Avoid long-term use of this medication; otherwise it may cause secondary infection. ', '•\r\n\r\n\r\n']","['Acute Bronchitis', 'Bacillary Dysentery', 'Boils / Skin Abscess', 'Gonorrhea', 'Infective Endocarditis', 'Leptospirosis', 'Meningitis', 'Septicemia']","['\r\n\t\t\t', ' is beta-lactam antibiotic, prescribed for certain types of bacterial infections such as UTI, meningitis, gonorrhea, pneumonia, bronchitis, ear, lung, skin and respiratory tract infections.\r\n\r\n\xa0   \r\n\t\t\t  \r\n\t    \r\n\t\t\t  \r\n\t\t\t  \r\n\t', '\r\n', '\r\n\t', ""\r\n\t\r\nIndia is the world's capital for quality medicines, be it pharmaceutical formulations, herbal medicines or nutraceuticals. Our Pharma Division deals only with the best, GMP certified generics and branded medication for the export market. All our products are supported by strict adherence to quality and analysis certification."", ' ', '. ', '\r\n\t']",Injection,"['Store it at room temperature (20-25°C) and in an airtight container, away from direct heat and light. Keep away from children.']","['It comes as a tablet, capsule, liquid and pediatric drops to take by mouth, on an empty stomach.', '\r\n\r\nIt also comes as a solution for injection to be administered by a healthcare provider into the vein or large muscle.\r\n\r\n']","[' Take ampicillin at least 1 hour before or 2 hours after meals.', '\r\n Monitor liver function, kidney function and complete blood cell counts regularly while taking this medication.\r\n\r\n\r\n']"
"['•', ':\r\n\r\nNausea, abdominal pain, indigestion, constipation, gas and heartburn.  ', '\r\n\r\n•', ':\r\n\r\nAbdominal pain, constipation, diarrhea, dry mouth, indigestion/heartburn, flatulence and vomiting. ', '\r\n\r\n\r\n', '•', ':\r\n\r\nItching, rash, drowsiness, back pain and fever, ', '.\r\n\r\n', '\r\n\r\n\t']", Norfloxacin,['Bacigyl (100mg/5mL)'],"['Adult- PO- The recommended dosage is one 400-mg tablet once daily for the duration given above. ', '\r\n\r\nOphthalmic- As 0.3% solution: Instill 1-2 drops 4 times/day for upto 7 days. May increase to 2 hourly for the 1st day in more severe infections.\r\n\r\n']",['9.44'],['Hypersensitivity.'],"['\r\n\t', '  Caution should be exercised in patients with history of stomach infection, nerve problems, myasthenia gravis, brain tumor or injury, Alzheimer disease, seizures, glucose-6-phosphate dehydrogenase (G-6PD) deficiency, any allergy, who are taking other medications, during pregnancy and breastfeeding. ', '•\r\n\r\n It may cause dizziness, lightheadedness, or tiredness, do not drive a car or operate machinery while taking this medication. ', '•\r\n\r\n\r\n Avoid exposure to sunlight.\r\n']","['Abdominal Pain', 'Campylobacteriosis', 'Conjunctivitis', 'Cystitis', 'Salmonellosis', 'Shigellosis', 'Small bowel atresia', 'Typhoid and Paratyphoid Enteric Fevers']","['\r\n\t\t\t', ' is a synthetic chemotherapeutic agent, prescribed for urinary tract infections and eye infections.\xa0It works by killing sensitive bacteria.\r\n   \r\n\t\t\t  \r\n\t    \r\n\t\t\t  \r\n\t\t\t  \r\n\t', '\r\n', '\r\n\t', ""\r\n\t\r\nIndia is the world's capital for quality medicines, be it pharmaceutical formulations, herbal medicines or nutraceuticals. Our Pharma Division deals only with the best, GMP certified generics and branded medication for the export market. All our products are supported by strict adherence to quality and analysis certification."", ' ', '. ', '\r\n\t']",Oral Suspension,['Store it at room temperature.'],"['It comes as a tablet to take by mouth, on an empty stomach. ', '\r\n\r\nIt also comes as eye drops to instill into the affected eyes as directed by your physician.\r\n\r\n']",[' Avoid excess dosage.']
"['•', ':\r\n\r\nNausea, abdominal pain, indigestion, constipation, gas and heartburn.  ', '\r\n\r\n•', ':\r\n\r\nAbdominal pain, constipation, diarrhea, dry mouth, indigestion/heartburn, flatulence and vomiting. ', '\r\n\r\n\r\n', '•', ':\r\n\r\nItching, rash, drowsiness, back pain and fever, ', '.\r\n\r\n', '\r\n\r\n\t']", Norfloxacin,['Bacigyl'],"['Adult- PO- The recommended dosage is one 400-mg tablet once daily for the duration given above. ', '\r\n\r\nOphthalmic- As 0.3% solution: Instill 1-2 drops 4 times/day for upto 7 days. May increase to 2 hourly for the 1st day in more severe infections.\r\n\r\n']",['22.00'],['Hypersensitivity.'],"['\r\n\t', '  Caution should be exercised in patients with history of stomach infection, nerve problems, myasthenia gravis, brain tumor or injury, Alzheimer disease, seizures, glucose-6-phosphate dehydrogenase (G-6PD) deficiency, any allergy, who are taking other medications, during pregnancy and breastfeeding. ', '•\r\n\r\n It may cause dizziness, lightheadedness, or tiredness, do not drive a car or operate machinery while taking this medication. ', '•\r\n\r\n\r\n Avoid exposure to sunlight.\r\n']","['Abdominal Pain', 'Campylobacteriosis', 'Conjunctivitis', 'Cystitis', 'Salmonellosis', 'Shigellosis', 'Small bowel atresia', 'Typhoid and Paratyphoid Enteric Fevers']","['\r\n\t\t\t', ' is a synthetic chemotherapeutic agent, prescribed for urinary tract infections and eye infections.\xa0It works by killing sensitive bacteria.\r\n   \r\n\t\t\t  \r\n\t    \r\n\t\t\t  \r\n\t\t\t  \r\n\t', '\r\n', '\r\n\t', ""\r\n\t\r\nIndia is the world's capital for quality medicines, be it pharmaceutical formulations, herbal medicines or nutraceuticals. Our Pharma Division deals only with the best, GMP certified generics and branded medication for the export market. All our products are supported by strict adherence to quality and analysis certification."", ' ', '. ', '\r\n\t']",Liquid   ,['Store it at room temperature.'],"['It comes as a tablet to take by mouth, on an empty stomach. ', '\r\n\r\nIt also comes as eye drops to instill into the affected eyes as directed by your physician.\r\n\r\n']",[' Avoid excess dosage.']
"['•', ':\r\nLow blood sugar, temporary visual impairment and GI disturbances. ', '\r\n•', ': \r\n\r\nDizziness, weakness, headache, nausea/vomiting, lightheadedness, confusion and irritability. \r\n', '\r\n\r\n\t']", Glimepiride,['Abepride ( 2mg)'],"['Adult- PO- Initial- The recommended starting dose is 1-2 mg once daily, with food. Maximum: 2mg/day.']",['25.00'],"['Contraindicated in patients with diabetic ketoacidosis, with or without coma, and hypersensitivity.']","['\r\n\t', '  Caution should be exercised in patients with history of liver and kidney disease, ketoacidosis, elderly, during pregnancy and breastfeeding. ', '•\r\n It may cause drowsiness, dizziness, blurred vision or lightheadedness, do not drive a car or operate machinery while taking this medication. ', '•\r\n\r\n Avoid alcohol consumption.\r\n']","['Diabetes', 'Diabetes - Essentials', 'Diabetes and Hypertension', 'Type 2 Diabetes']","['\r\n\t\t\t', ' is a sulfonylurea antidiabetic agent, prescribed for type 2 diabetes.\xa0It works by causing the pancreas to produce insulin. \r\n   \r\n\t\t\t  \r\n\t    \r\n\t\t\t  \r\n\t\t\t  \r\n\t', '\r\n', '\r\n\t', ""\r\n\t\r\nIndia is the world's capital for quality medicines, be it pharmaceutical formulations, herbal medicines or nutraceuticals. Our Pharma Division deals only with the best, GMP certified generics and branded medication for the export market. All our products are supported by strict adherence to quality and analysis certification."", ' ', '. ', '\r\n\t']",Tablet  ,['Store it at room temperature and in an airtight container.'],"['It comes as a tablet to take by mouth, with food.']",[' Avoid excess dosage.']
"['•', ':\r\nLow blood sugar, temporary visual impairment and GI disturbances. ', '\r\n•', ': \r\n\r\nDizziness, weakness, headache, nausea/vomiting, lightheadedness, confusion and irritability. \r\n', '\r\n\r\n\t']", Glimepiride,['Abepride ( 1mg)'],"['Adult- PO- Initial- The recommended starting dose is 1-2 mg once daily, with food. Maximum: 2mg/day.']",['15.00'],"['Contraindicated in patients with diabetic ketoacidosis, with or without coma, and hypersensitivity.']","['\r\n\t', '  Caution should be exercised in patients with history of liver and kidney disease, ketoacidosis, elderly, during pregnancy and breastfeeding. ', '•\r\n It may cause drowsiness, dizziness, blurred vision or lightheadedness, do not drive a car or operate machinery while taking this medication. ', '•\r\n\r\n Avoid alcohol consumption.\r\n']","['Diabetes', 'Diabetes - Essentials', 'Diabetes and Hypertension', 'Type 2 Diabetes']","['\r\n\t\t\t', ' is a sulfonylurea antidiabetic agent, prescribed for type 2 diabetes.\xa0It works by causing the pancreas to produce insulin. \r\n   \r\n\t\t\t  \r\n\t    \r\n\t\t\t  \r\n\t\t\t  \r\n\t', '\r\n', '\r\n\t', ""\r\n\t\r\nIndia is the world's capital for quality medicines, be it pharmaceutical formulations, herbal medicines or nutraceuticals. Our Pharma Division deals only with the best, GMP certified generics and branded medication for the export market. All our products are supported by strict adherence to quality and analysis certification."", ' ', '. ', '\r\n\t']",Tablet  ,['Store it at room temperature and in an airtight container.'],"['It comes as a tablet to take by mouth, with food.']",[' Avoid excess dosage.']
"['•', ':\r\nSevere allergic reactions such as rash, headache, fever and hives. ', '\r\n\r\n•', ':\r\nNausea, soreness of the tongue, inflammation in the mouth, oral candidiasis, vomiting, enterocolitis, pseudomembranous colitis and diarrhea. ', '\r\n\r\n•', ':\r\nAnaphylactic shock, redness of skin, skin inflammation, hives and inflammation of blood vessels. ', '\r\n\r\n•', ':\r\nJaundice, moderate elevation of SGOT and liver inflammation. ', '\r\n\r\n•', ':\r\nAnemia and blood disorder.  ', '\r\n\r\n•', ': Tooth discoloration.\r\n', '\r\n\r\n\t']", Ampicillin,['Baciclox'],"['Adult- PO/IM/IV- The recommended dose range is 0.5 to 3gm every 6 hours or 4 times/day.\r\n', '\r\nChild- 25 to 50mg/kg/day.\r\n\r\n']",['11.16'],['Contraindicated in patients with infectious mononucleosis and hypersensitivity. Ampicillin is also contraindicated in infections caused by penicillinase-producing organisms.\r\n\r\n'],"['\r\n\t', '  Caution should be exercised in patients with history of kidney or liver disease, any allergy, asthma, blood disease, intestinal inflammation, stomach problems, hay fever, who are taking other medications, children, who are taking birth control pills, during pregnancy and breastfeeding. ', '•\r\n\r\n It may cause dizziness, do not drive a car or operate machinery while taking this medication. ', '•\r\n\r\n\r\n Take full course of treatment. ', '•\r\n\r\n\r\n Avoid long-term use of this medication; otherwise it may cause secondary infection. ', '•\r\n\r\n\r\n']","['Acute Bronchitis', 'Bacillary Dysentery', 'Boils / Skin Abscess', 'Gonorrhea', 'Infective Endocarditis', 'Leptospirosis', 'Meningitis', 'Septicemia']","['\r\n\t\t\t', ' is beta-lactam antibiotic, prescribed for certain types of bacterial infections such as UTI, meningitis, gonorrhea, pneumonia, bronchitis, ear, lung, skin and respiratory tract infections.\r\n\r\n\xa0   \r\n\t\t\t  \r\n\t    \r\n\t\t\t  \r\n\t\t\t  \r\n\t', '\r\n', '\r\n\t', ""\r\n\t\r\nIndia is the world's capital for quality medicines, be it pharmaceutical formulations, herbal medicines or nutraceuticals. Our Pharma Division deals only with the best, GMP certified generics and branded medication for the export market. All our products are supported by strict adherence to quality and analysis certification."", ' ', '. ', '\r\n\t']",Capsule,"['Store it at room temperature (20-25°C) and in an airtight container, away from direct heat and light. Keep away from children.']","['It comes as a tablet, capsule, liquid and pediatric drops to take by mouth, on an empty stomach.', '\r\n\r\nIt also comes as a solution for injection to be administered by a healthcare provider into the vein or large muscle.\r\n\r\n']","[' Take ampicillin at least 1 hour before or 2 hours after meals.', '\r\n Monitor liver function, kidney function and complete blood cell counts regularly while taking this medication.\r\n\r\n\r\n']"
"['•', ':\r\nHeadache, seizures, confusion, raised intracranial pressure, dizziness/vertigo, signs that meningeal sings.\r\n', '\r\n•', ':\r\nReversible hair loss, infection, hypersensitivity including rash and hives, allergic reactions. ', '\r\n\r\n•', ':\r\nAbdominal pain, nausea/vomiting. ', '\r\n\r\n•', ':\r\nAcute kidney failure, dark urine. ', '\r\n\r\n•', ':\r\nAbnormal Liver Function Tests, inflammation of liver', '\r\n\r\n•', ':\r\nDecrease in the number of white blood cells, thrombocytes, hemoglobin. ', '\r\n\r\n•', ':\r\nFever.\r\n', '\r\n\r\n\t']", Albendazole,['Abenzer (400mg)'],"['Dosing of ALBENZA (albendazole) will vary, depending upon which of the following parasitic infections is being treated.', 'Hydatid cyst disease:\r\nPO- \r\nAdults >= 60 kg: 400 mg twice daily with meals for 28 days followed by a 14-day drug-free period. Repeat for 2 more cycles. For inoperable hydatid cysts, up to 5 cycles may be given.', ' \r\nAdults < 60 kg: 15 mg/kg/day  (not to exceed 800 mg/day) given in two divided doses for 28 days followed by a 14-day drug-free period. Repeat as above. \r\nChildren >= 6 years: 15 mg/kg/day  given in two divided doses for 28 days, followed by a 14-day drug-free period. Repeat as above.', '\r\n\r\nCysticercosis or neurocysticercosis (larval form of T. solium):\r\n\r\nPO- \r\nAdults >= 60 kg: 400 mg  twice daily for 8 - 30 days. Treatment may be repeated as necessary. \r\nAdults < 60 kg: 15 mg/kg/day  given in two divided doses for 8 - 30 days. Maximum dosage 800 mg/day. Treatment may be repeated as necessary. ', '\r\nChildren >= 6 years: 15 mg/kg/day given in two divided doses for for 8 - 30 days. Maximum dosage 800 mg/day. Treatment may be repeated as necessary.', '\r\nCapillariasis: \r\nPO- \r\nAdults and Children >= 2 years: 200 mg  twice daily for 10 days. ', '\r\nCutaneous larva migrans: \r\nPO- \r\nAdults: 400mg once daily for 3 days. ', '\r\nChildren: 5 mg/kg/day for 3 days. ', '\r\nGiardiasis: \r\nPO- \r\nAdults: 400 mg once daily for 3 days. ', '\r\nMicrosporidiosis  including Septata intestinalis infection: \r\nPO- \r\nAdults: 400 mg  twice daily to 1600 mg  twice daily has been used. Average dosage 800 mg  twice daily. May take up to 2 months to see effect. ', '\r\nIntestinal parasites in immigrants: \r\nPO- \r\nAdults: 400 mg once daily for 5 days. ', '\r\nStrongyloidiasis  or taeniasis † (tapeworm infection): \r\nPO- \r\nAdults and Children >= 2 years: 400 mg  once daily for 3 days. May repeat course in 3 weeks. \r\nChildren < 2 years: 200 mg once daily for 3 days. May repeat course in 3 weeks. ', '\r\nTrichinosis: \r\nPO- \r\nAdults: 400 mg twice daily for 15 days. ', '\r\nTrichostrongyliasis: \r\nPO- \r\nAdults: 400 mg  as a single dose. \r\n']",['11.00'],"['Contraindicated in pregnant and breastfeeding women, neonates, patients with known hypersensitivity, and liver impairment.']","['\r\n\t', ' Monitor blood counts and liver function. ', '•\r\n\r\n Patients being treated for neurocysticercosis should receive appropriate steroid and anticonvulsant therapy as required.', '•\r\n It is important to take iron every day while you are being treated for hookworm infection because it causes anemia.', '•\r\n\r\n\r\nAdminister within 7 days of start of normal menstruation in women of childbearing age. ', '•\r\n\r\n\r\nAdequate non-hormonal contraceptive measures must be taken during and for 1 month after therapy. ', '•\r\n\r\n\r\nPerform liver function tests and blood counts before and every 2 wk during high dose therapy of hydatid disease. ', '•\r\n\r\n\r\nIt may cause bone marrow depression. ', '•\r\n\r\n\r\nIt may cause dizziness. Do not drive or perform other possibly unsafe tasks until you know how you react to it. ', '•\r\n\r\n In young children, the tablets should be crushed or chewed and swallowed with glass of  water.\r\n\r\n']","['Filariasis', 'Hydatid disease', 'Neurocysticercosis', 'Vector-Borne Diseases', 'Water Borne Diseases']","['\r\n\t\t\t', ' is an anthelmintic, prescribed for tapeworm infections,  hydatid cyst disease, cysticercosis or neurocysticercosis, capillariasis, cutaneous larva migrans, giardiasis, microsporidiosis  including Septata intestinalis  infection, intestinal parasites in immigrants, strongyloidiasis, trichinosis,  trichostrongyliasis.\xa0It works by killing sensitive parasites.   \r\n\t\t\t  \r\n\t    \r\n\t\t\t  \r\n\t\t\t  \r\n\t', '\r\n', '\r\n\t', ""\r\n\t\r\nIndia is the world's capital for quality medicines, be it pharmaceutical formulations, herbal medicines or nutraceuticals. Our Pharma Division deals only with the best, GMP certified generics and branded medication for the export market. All our products are supported by strict adherence to quality and analysis certification."", ' ', '. ', '\r\n\t']",Tablet  ,"['Store in room temperature in an airtight container and keep away from excess heat, moisture and children.']",['It comes in a tablet form to take by mouth (orally). Should be taken with food.'],"[""Do not change the dose, without your Doctor's advice.""]"
['•  Acebrophylline is used for its mucoregulative action and anti-inflammatory properties in the respiratory tract.'], Acebrophylline,['AB-FLO'],"['•', '  Abdominal discomfort, esophageal bleeding, vomiting, diarrhea, ', ', loss of appetite', '\r\n•', '  Headache, drowsiness', '\r\n•', '  Difficulty or shortness in breathing', '\r\n•', '  Rashes, itching', '\r\n•', ' Fever with chills, elevated white blood cell count, changes in blood pressure, ', '\r\n']",['89.00'],"['•  Acebrophylline is available in the form of a capsule, tablet and syrup.', '\r\n•   This drug should be taken orally with food to avoid gastric discomfort.']","['Contraindicated in patients in:', '\r\n•  Allergy to xanthine derivatives and ', '\r\n•  Low blood pressure or ', ' or ', '\r\n•  Liver or kidney impairment', '\r\n']","['Acute Bronchitis', 'Asthma', 'Lung Cancer', 'Tuberculosis', 'Tuberous Sclerosis']","['\r\n\t\t\tAcebrophylline is prescribed for its bronchodilator, mucolytic and anti-inflammatory action. ', '\r\n\r\nThe combined action of ambroxol and theophylline 7-acetic acid salt (acebrophylline) reduces the viscosity of the mucus, relaxes the bronchial smooth muscles and enables the phlegm to get cleared from the respiratory tract.', '\r\n\r\nIt is used in the treatment of acute or  ', ', ', '(COPD) and ', '. \xa0   \r\n\t\t\t  \r\n\t    \r\n\t\t\t  \r\n\t\t\t  \r\n\t', '\r\n', '\r\n\t', ""\r\n\t\r\nIndia is the world's capital for quality medicines, be it pharmaceutical formulations, herbal medicines or nutraceuticals. Our Pharma Division deals only with the best, GMP certified generics and branded medication for the export market. All our products are supported by strict adherence to quality and analysis certification."", ' ', '. ', '\r\n\t']",Capsule,['•  Avoid excess dosage. '],"['•  The recommended dosage for adults in treating COPD and bronchial asthma is 100 mg twice daily.', '\r\n\r\n•  Child dosage of acebrophylline syrup (50mg/5ml):', '\r\n\r\nBelow 2 years of age   :     2.5 ml twice daily', '\r\n2 - 5 years of age          :     2.5ml three times daily', '\r\nAbove 5 years               :     5 ml twice daily or as directed by the physician', '\r\n\r\n']","['\r\n\t', ' Special precautions should be observed in patients suffering from seizures, cardiac insufficiency and gastro-intestinal disorders.', '•\r\nAcebrophylline-induced ', '\r\n, a serious allergic reaction, could occur ', '•\r\nCaution is advised in patients with ', ', that is, high thyroid hormone levels since it can cause cardiac side effects\r\n']"
